gss-code,year,vacancy-dwellings
E07000171,2014,1760
E07000171,2015,1637
E07000172,2011,1526
E07000172,2012,1499
E07000172,2013,1317
E07000172,2014,1335
E07000172,2015,1245
E07000173,2011,1737
E07000173,2012,1769
E07000173,2013,1433
E07000173,2014,1341
E07000173,2015,1282
E07000174,2011,1943
E07000174,2012,1844
E07000174,2013,1645
E07000174,2014,1587
E07000174,2015,1461
E07000175,2011,1934
E07000175,2012,1926
E07000175,2013,1684
E07000175,2014,1686
E07000175,2015,1517
E07000176,2011,1375
E07000176,2012,1270
E07000176,2013,1130
E07000176,2014,1064
E07000176,2015,1147
E07000177,2011,1743
E07000177,2012,1508
E07000177,2013,1198
E07000177,2014,1215
E07000177,2015,1210
E07000178,2011,1383
E07000178,2012,1290
E07000178,2013,1021
E07000178,2014,835
E07000178,2015,912
E07000179,2011,1359
E07000179,2012,1395
E07000179,2013,1087
E07000179,2014,1107
E07000179,2015,1090
E07000180,2011,1143
E07000180,2012,1106
E07000180,2013,902
E07000180,2014,938
E07000180,2015,973
E07000181,2011,1219
E07000181,2012,1115
E07000181,2013,1164
E07000181,2014,1040
E07000181,2015,1028
E07000187,2011,1444
E07000187,2012,1403
E07000187,2013,1402
E07000187,2014,1461
E07000187,2015,1351
E07000188,2011,1468
E07000188,2012,1643
E07000188,2013,1886
E07000188,2014,1815
E07000188,2015,1694
E07000189,2011,2649
E07000189,2012,2588
E07000189,2013,2286
E07000189,2014,2108
E07000189,2015,2191
E07000190,2011,1602
E07000190,2012,1596
E07000190,2013,1644
E07000190,2014,1703
E07000190,2015,1529
E07000191,2011,560
E07000191,2012,545
E07000191,2013,544
E07000191,2014,495
E07000191,2015,501
E07000192,2011,1067
E07000192,2012,1087
E07000192,2013,1127
E07000192,2014,1037
E07000192,2015,996
E07000193,2011,1734
E07000193,2012,1670
E07000193,2013,1531
E07000193,2014,1552
E07000193,2015,1372
E07000194,2011,1258
E07000194,2012,1113
E07000194,2013,1014
E07000194,2014,1041
E07000194,2015,985
E07000195,2011,1829
E07000195,2012,1917
E07000195,2013,1744
E07000195,2014,1859
E07000195,2015,1602
E07000196,2011,1218
E07000196,2012,1264
E07000196,2013,1077
E07000196,2014,1118
E07000196,2015,1124
E07000197,2011,1720
E07000197,2012,1679
E07000197,2013,1680
E07000197,2014,1797
E07000197,2015,1875
E07000198,2011,1816
E07000198,2012,1793
E07000198,2013,1635
E07000198,2014,1565
E07000198,2015,1555
E07000199,2011,734
E07000199,2012,628
E07000199,2013,579
E07000199,2014,656
E07000199,2015,613
E07000200,2011,969
E07000200,2012,1029
E07000200,2013,951
E07000200,2014,853
E07000200,2015,867
E07000201,2011,1038
E07000201,2012,1051
E07000201,2013,886
E07000201,2014,897
E07000201,2015,836
E07000202,2011,1918
E07000202,2012,1750
E07000202,2013,1483
E07000202,2014,1365
E07000202,2015,1430
E07000203,2011,1076
E07000203,2012,1188
E07000203,2013,1062
E07000203,2014,934
E07000203,2015,940
E07000204,2011,1019
E07000204,2012,1055
E07000204,2013,1007
E07000204,2014,1046
E07000204,2015,1017
E07000205,2011,1920
E07000205,2012,1982
E07000205,2013,1878
E07000205,2014,1721
E07000205,2015,1625
E07000206,2011,2220
E07000206,2012,2141
E07000206,2013,1838
E07000206,2014,1513
E07000206,2015,1588
E07000207,2011,1707
E07000207,2012,1660
E07000207,2013,1590
E07000207,2014,1608
E07000207,2015,1519
E07000208,2011,715
E07000208,2012,747
E07000208,2013,545
E07000208,2014,617
E07000208,2015,496
E07000209,2011,1312
E07000209,2012,1335
E07000209,2013,1484
E07000209,2014,1360
E07000209,2015,1323
E07000210,2011,872
E07000210,2012,802
E07000210,2013,805
E07000210,2014,816
E07000210,2015,837
E07000211,2011,1495
E07000211,2012,1494
E07000211,2013,1289
E07000211,2014,1143
E07000211,2015,1177
E07000212,2011,777
E07000212,2012,731
E07000212,2013,657
E07000212,2014,633
E07000212,2015,633
E07000213,2011,955
E07000213,2012,901
E07000213,2013,816
E07000213,2014,803
E07000213,2015,717
E07000214,2011,737
E07000214,2012,714
E07000214,2013,534
E07000214,2014,540
E07000214,2015,572
E07000215,2011,947
E07000215,2012,979
E07000215,2013,833
E07000215,2014,788
E07000215,2015,772
E07000216,2011,1553
E07000216,2012,1491
E07000216,2013,1472
E07000216,2014,1456
E07000216,2015,1330
E07000217,2011,811
E07000217,2012,901
E07000217,2013,850
E07000217,2014,877
E07000217,2015,847
E07000218,2011,908
E07000218,2012,814
E07000218,2013,782
E07000218,2014,701
E07000218,2015,648
E07000219,2011,1795
E07000219,2012,1648
E07000219,2013,1593
E07000219,2014,1602
E07000219,2015,1575
E07000220,2011,1153
E07000220,2012,1111
E07000220,2013,1089
E07000220,2014,1074
E07000220,2015,1049
E07000221,2011,1591
E07000221,2012,1497
E07000221,2013,1457
E07000221,2014,1513
E07000221,2015,1646
E07000222,2011,1423
E07000222,2012,1350
E07000222,2013,1366
E07000222,2014,1351
E07000222,2015,1364
E07000223,2011,528
E07000223,2012,534
E07000223,2013,452
E07000223,2014,453
E07000223,2015,429
E07000224,2011,1857
E07000224,2012,2113
E07000224,2013,1951
E07000224,2014,1724
E07000224,2015,1641
E07000225,2011,1494
E07000225,2012,1452
E07000225,2013,1399
E07000225,2014,1009
E07000225,2015,1010
E07000226,2011,568
E07000226,2012,564
E07000226,2013,485
E07000226,2014,540
E07000226,2015,524
E07000227,2011,1091
E07000227,2012,1231
E07000227,2013,1216
E07000227,2014,1064
E07000227,2015,1112
E07000228,2011,1200
E07000228,2012,1400
E07000228,2013,1301
E07000228,2014,1123
E07000228,2015,1088
E07000229,2011,1597
E07000229,2012,1585
E07000229,2013,1241
E07000229,2014,1287
E07000229,2015,1177
E07000234,2011,1000
E07000234,2012,1018
E07000234,2013,963
E07000234,2014,934
E07000234,2015,875
E07000235,2011,1119
E07000235,2012,1158
E07000235,2013,963
E07000235,2014,1028
E07000235,2015,1042
E07000236,2011,858
E07000236,2012,762
E07000236,2013,711
E07000236,2014,742
E07000236,2015,720
E07000237,2011,1261
E07000237,2012,1369
E07000237,2013,1214
E07000237,2014,1174
E07000237,2015,1180
E07000238,2011,1322
E07000238,2012,1346
E07000238,2013,1201
E07000238,2014,1204
E07000238,2015,1219
E07000239,2011,1423
E07000239,2012,1307
E07000239,2013,1354
E07000239,2014,1404
E07000239,2015,1216
E07000240,2011,1441
E07000240,2012,1468
E07000240,2013,854
E07000240,2014,1261
E07000240,2015,1230
E07000241,2011,858
E07000241,2012,837
E07000241,2013,693
E07000241,2014,705
E07000241,2015,642
E08000001,2011,5109
E08000001,2012,4900
E08000001,2013,4820
E08000001,2014,4618
E08000001,2015,4595
E08000002,2011,3021
