gss.code,sex,age,year,popn
E06000005,F,23,2027,538.2237547783
E06000005,F,23,2028,527.0719363272
E06000005,F,23,2029,597.1073733939
E06000005,F,23,2030,581.9677162071
E06000005,F,23,2031,636.7087138866
E06000005,F,23,2032,582.4318176419
E06000005,F,23,2033,585.456887026
E06000005,F,23,2034,570.5297733188
E06000005,F,23,2035,613.6658938508
E06000005,F,23,2036,592.180046355
E06000005,F,23,2037,511.18101606
E06000005,F,24,2011,652
E06000005,F,24,2012,688
E06000005,F,24,2013,644
E06000005,F,24,2014,656
E06000005,F,24,2015,688.892079689
E06000005,F,24,2016,685.6569439429
E06000005,F,24,2017,637.356023304
E06000005,F,24,2018,613.2365931799
E06000005,F,24,2019,596.2601959445
E06000005,F,24,2020,625.2549817336
E06000005,F,24,2021,603.4154928676
E06000005,F,24,2022,625.11132535
E06000005,F,24,2023,639.5428290422
E06000005,F,24,2024,547.3304744133
E06000005,F,24,2025,547.3718722923
E06000005,F,24,2026,497.0387290399
E06000005,F,24,2027,534.6985490406
E06000005,F,24,2028,556.1511993218
E06000005,F,24,2029,544.9931264538
E06000005,F,24,2030,615.0318166029
E06000005,F,24,2031,599.8717399729
E06000005,F,24,2032,654.6171574998
E06000005,F,24,2033,600.324300492
E06000005,F,24,2034,603.3651986974
E06000005,F,24,2035,588.4371984309
E06000005,F,24,2036,631.5776711496
E06000005,F,24,2037,610.0792462566
E06000005,F,25,2011,689
E06000005,F,25,2012,648
E06000005,F,25,2013,690
E06000005,F,25,2014,638
E06000005,F,25,2015,668.4812015504
E06000005,F,25,2016,701.364420425
E06000005,F,25,2017,698.1197256037
E06000005,F,25,2018,649.81974819
E06000005,F,25,2019,625.714358757
E06000005,F,25,2020,608.7449689022
E06000005,F,25,2021,637.7446876535
E06000005,F,25,2022,615.8967686367
E06000005,F,25,2023,637.5989522583
E06000005,F,25,2024,652.0241471762
E06000005,F,25,2025,559.8075991768
E06000005,F,25,2026,559.8758041917
E06000005,F,25,2027,509.5426411123
E06000005,F,25,2028,547.2170928465
E06000005,F,25,2029,568.6587912522
E06000005,F,25,2030,557.4944853323
E06000005,F,25,2031,627.5364209192
E06000005,F,25,2032,612.3559832614
E06000005,F,25,2033,667.1058137063
E06000005,F,25,2034,612.7970410501
E06000005,F,25,2035,615.8537266893
E06000005,F,25,2036,600.9248378514
E06000005,F,25,2037,644.0696503634
E06000005,F,26,2011,660
E06000005,F,26,2012,676
E06000005,F,26,2013,635
E06000005,F,26,2014,648
E06000005,F,26,2015,644.9749506903
E06000005,F,26,2016,675.4570472257
E06000005,F,26,2017,708.3312477286
E06000005,F,26,2018,705.0768268124
E06000005,F,26,2019,656.7778122452
E06000005,F,26,2020,632.6867124614
E06000005,F,26,2021,615.724450151
E06000005,F,26,2022,644.7291873231
E06000005,F,26,2023,622.8726870231
E06000005,F,26,2024,644.5813370649
E06000005,F,26,2025,659.0001093053
E06000005,F,26,2026,566.7792953969
E06000005,F,26,2027,566.8747846763
